五文字目,ごもじめ
五日,いつか
五日目,いつか
五月,ごがつ／さつき
五月七日,つゆり【人】
五月女,さおとめ【人】
五月山,さつきやま
五月日,ごがつひ【人】
五月雨,さみだれ／さつきあめ
五木,ごもく／ごぼく／いつき【地】
五木村,いつきむら【地】
五木田,ごきた【人】
五本,ごほん
五本木,ごほんぎ【地】
五本目,ごほんめ
五村,ごむら【地】
五林,ごりん【人】
五気,ごき
五生,ごしょう
五町,ごちょう【人】／ごまち【人】
五百,ごひゃく
五百八十,ごひゃくはちじゅう
五百八十年,ごひゃくはちじゅうねん
五百円,ごひゃくえん
五百円玉,ごひゃくえんだま
五百山,ごひゃくやま
五百年,ごひゃくねん
五百年目,ごひゃくねんめ
五百木,いおき【人】
五百森,いおもり【人】／いよもり【人】
五百生,ごひゃくしょう
五目,ごもく【碁】
五目中手,ごもくなかで【碁】
五虫,ごちゅう
五見,ごけん
五足,ごそく
五足目,ごそくめ
五車,ごしゃ
五金,ごきん
五音,ごいん
人中,じんちゅう／にんじゅう／にんちゅう／ひとなか
人中白,じんちゅうはく／にんちゅうはく
人人,ひとびと
人先,ひとさき＝人より先に立つ
人入,ひとい（れ）
人出,ひとで
人力,じんりょく／じんりき
人力車,じんりきしゃ
人口,じんこう
人名,じんめい
人天,にんでん
人子,じんし＝人の子
人字草,じんじそう【植】
人手,ひとで
人文,じんぶん
人本,じんぽん＝人本主義
人気,にんき
人生,じんせい
人目,ひとめ
人立,ひとだ（ち）
人耳,じんじ＝人の耳
人花赤,ひと（の）はな（は）あか（い）
人草,ひとくさ
人見,ひとみ
人足,にんそく／ひとあし
人音,ひとおと
休人,やす（む）ひと
休休,やす（み）やす（み）
休子,やす（む）こ
休字,やす（め）じ
休学,きゅうがく
休日,きゅうじつ
休校,きゅうこう
休火山,きゅうかざん
先下,さきさが（り）
先人,せんじん
先先,さきざき
先先月,せんせんげつ
先入,せんにゅう／さきいれ
先入先出,さきいれさきだし
先出,さきだし
先口,せんくち
先天,せんてん
先学,せんがく
先川,さきかわ【人／地】／さきがわ【人／地】／せんかわ【人／地】
先年,せんねん
先年木,せんねんぼく【植】
先手,せんて／さきて
先日,せんじつ
先月,せんげつ
先村,さきむら【人／地】
先火,さきび
先王,せんおう／せんのう
先生,せんせい
先目,さきめ【地】
先目川,さきめがわ【川】
先立,さきだ（つ）
先見,せんけん
入出,にゅうしゅつ
入出力,にゅうしゅつりょく
入力,にゅうりょく
入口,いりぐち
入学,にゅうがく
入学金,にゅうがくきん
入山,にゅうざん／いりやま【人】
入手,にゅうしゅ
入日,いりひ
入校,にゅうこう
入水,じゅすい
入王,いりおう
入田,にゅうた【地】
入田町,にゅうたまち【地】
入目,いりめ
入石,いりいし【人】
入立,いりたち／いりたて／いりた（つ）
入花,にゅうか
入金,にゅうきん
八一,はちいちが＝8
八七,はちしち＝56
八三,はっさん＝24
八下,や（つ）さ（がり）
八九,やく【人】／はっく＝72
八九四,894年【歴】遣唐使の廃止
八二,はちに＝16
八五,はちご＝40
八人,はちにん
八人目,はちにんめ
八八,はっぱ＝64
八六,はちろく＝48
八円,はちえん
八十,はちじゅう／やそ【人】
八十八,はちじゅうはち
八十字,はちじゅうじ
八十年,はちじゅうねん
八十年目,はちじゅうねんめ
八十文字,はちじゅうもじ
八千,はっせん8000／やち
八千草,やちぐさ
八口,や（つ）くち
八名,はちめい
八四,はちし＝32
八女,やめ【地】
八子,はね
八字,はちじ／はち（の）じ
八川,やかわ【地】／はちがわ【地】
八川小,やかわしょう【略】八川小学校
八川小学校,やかわしょうがっこう
八年,はちねん
八年目,はちねんめ
八手,はちて／はって／やつで【植】
八手目,はちてめ
八文字,はちもんじ【地】／やつもんじ【人】
八文字町,はちもんじちょう【地】
八文字目,はちもじめ
八日,ようか
八日町,ようかまち【地】
八日目,ようかめ
八月,はちがつ
八月一日,ほずみ【人】
八月八日,わたぬき【人】
八月十五日,なかあき【人】／あきなか【人】
八木,やぎ【人／地】
八木町,やぎちょう【地】
八本,はっぽん／はちほん
八本木,はっぽんぎ【地】
八本目,はっぽんめ／はちほんめ
八林,やつばやし【人】
八森,はちもり【地】
八王子,はちおうじ【地】
八町,はっちょう【人】／やまち【人】
八白,はっぱく
八百,はっぴゃく800／やお【人】
八百八町,はっぴゃくやちょう
八百日,やおか
八目,や（つ）め
八石,はちこく【人】／やついし【人】
八足,や（つ）あし
八足目,はっそくめ
八音,はちいん／はちおん／はっちん／はっとん
六〇七,607年【歴】小野妹子ら遣隋使派遣 
六〇四,604年【歴】十七条の憲法制定
六一,ろくいちが＝6
六七,ろくしち＝42
六七二,672年【歴】壬申の乱（天武天皇） 
六三,ろくさん＝18
六三四,634m＝東京スカイツリーの高さ
六下,ろくさが（り）
六九,ろっく＝54
六二,ろくに＝12
六五,ろくご＝30
六人,ろくにん
六人目,ろくにんめ
六八,ろくは＝48
六六,ろくろく＝36
六六三,663年【歴】白村江の戦い
六円,ろくえん
六十,ろくじゅう60
六十五,ろくじゅうご65
六十年,ろくじゅうねん
六十年目,ろくじゅうねんめ
六千,ろくせん6000
六千日,ろくせんにち
六名,ろくめい
六四,ろくし＝24
六四五,645年【歴】大化の改新
六子,ろくじ
六字,ろくじ
六川,ろくかわ【人】／ろくがわ【人】
六年,ろくねん
六年生,ろくねんせい
六年目,ろくねんめ
六手,ろくて
六手目,ろくてめ
六日,むいか
六日目,むいかめ
六月,ろくがつ
六月一日,うりはり【人】
六木,むつぎ【地】
六本,ろっぽん
六本木,ろっぽんぎ【地】
六本目,ろっぽんめ
六林,ろくばやし【人】
六気,りくき／りっき／ろっき
六玉川,むたまがわ
六田,ろくた【地】／むだ【地】
六町,ろくちょう【地】
六白,ろっぱく
六百,ろっぴゃく／むお【人】
六百七,607年【歴】小野妹子ら遣隋使派遣 
六百四,604年【歴】十七条の憲法制定
六花,りくか／りっか／ろっか
六車,むぐるま【人】
円子,まるこ【地】
円山,まるやま【地】
円山川,まるやまがわ
円山町,まるやまちょう【地】
円川,えんかわ【人】
円月,えんげつ
円木,えんぼく／えんき【人】／まるき【人】
円本,えんぽん
円田,えんだ【人】／えんでん＝円形の田
円石,えんせき
円空,えんくう
出下,いでした【人】
出先,でさき
出入,しゅつにゅう／でい（り）
出入口,でいりぐち
出入子,でい（り）こ
出力,しゅつりょく
出口,でぐち
出土,しゅつど
出女,でおんな
出子,だ（し）こ
出山,しゅつやま
出村,でむら【地】
出校,しゅっこう
出水,でみず／しゅっすい／いずみ【地】
出火,しゅっか
出玉,でだま
出生,しゅっしょう／しゅっせい
出目,でめ
